EgresadoID,EstudianteID,TieneEmpleoFormal,SalarioMensualUSD,TrabajaEnAreaDeEstudio,anio
1,1,True,1364.2,True,2024
2,2,True,2186.24,True,2024
3,3,False,,False,2024
4,4,True,1051.0,True,2024
5,5,True,1755.04,True,2024
6,6,True,1898.0,True,2024
7,7,True,1551.2,True,2024
8,8,True,1318.0,False,2024
9,9,True,1407.24,True,2024
10,10,False,,False,2024
11,11,True,1470.96,True,2024
12,12,False,,False,2024
13,13,False,,False,2024
14,14,True,1145.0,False,2024
15,15,True,1364.16,True,2024
16,16,True,1723.68,True,2024
17,17,True,1503.04,True,2024
18,18,True,1314.36,True,2024
19,19,True,1299.2,True,2024
20,20,False,,False,2024
21,21,True,2247.48,True,2024
22,22,True,1255.28,True,2024
23,23,True,1437.0,True,2024
24,24,True,1165.32,False,2024
25,25,False,,False,2024
26,26,True,1697.28,True,2024
27,27,False,,False,2024
28,28,True,1496.88,True,2024
29,29,True,1392.7,True,2024
30,30,True,1351.84,True,2024
31,31,True,1072.44,True,2024
32,32,True,1556.28,True,2024
33,33,True,1856.96,True,2024
34,34,True,1470.96,True,2024
35,35,True,1253.28,True,2024
36,36,True,1570.4,True,2024
37,37,True,1241.65,True,2024
38,38,True,1571.36,True,2024
39,39,True,1148.16,True,2024
40,40,True,1499.1,True,2024
41,41,True,1827.84,True,2024
42,42,True,1761.76,True,2024
43,43,True,1593.28,True,2024
44,44,True,1569.4,True,2024
45,45,True,1788.64,True,2024
46,46,True,1366.56,True,2024
47,47,False,,False,2024
48,48,True,1160.64,True,2024
49,49,True,1491.84,True,2024
50,50,True,1400.3,True,2024
51,51,True,1355.2,True,2024
52,52,True,1523.6,True,2024
53,53,True,1464.32,True,2024
54,54,True,1640.0,True,2024
55,55,True,1731.52,True,2024
56,56,False,,False,2024
57,57,False,,False,2024
58,58,True,1575.84,True,2024
59,59,False,,False,2024
60,60,True,1596.0,True,2024
61,61,True,1696.68,True,2024
62,62,False,,False,2024
63,63,True,1523.6,True,2024
64,64,True,1367.6,True,2024
65,65,False,,False,2024
66,66,False,,False,2024
67,67,True,1194.96,True,2024
68,68,True,1881.36,True,2024
69,69,True,1468.32,True,2024
70,70,True,1840.32,True,2024
71,71,True,1493.64,True,2024
72,72,True,1780.92,True,2024
73,73,True,1126.7,True,2024
74,74,True,1069.6,True,2024
75,75,True,1206.36,True,2024
76,76,True,1452.55,True,2024
77,77,True,1803.2,True,2024
78,78,True,1973.92,True,2024
79,79,True,1859.2,True,2024
80,80,True,1905.12,True,2024
81,81,True,1211.6,True,2024
82,82,True,1166.88,True,2024
83,83,True,1514.24,True,2024
84,84,True,1445.92,True,2024
85,85,True,1333.0,True,2024
86,86,False,,False,2024
87,87,False,,False,2024
88,88,True,1544.48,True,2024
89,89,True,1282.0,True,2024
90,90,True,1676.48,True,2024
91,91,True,1387.68,True,2024
92,92,True,2148.64,True,2024
93,93,True,1530.0,True,2024
94,94,True,1191.24,True,2024
95,95,True,1096.48,True,2024
96,96,True,1784.16,True,2024
97,97,True,1969.76,True,2024
98,98,True,1282.4,False,2024
99,99,False,,False,2024
100,100,False,,False,2024
101,101,False,,False,2024
102,102,True,1238.72,True,2024
103,103,True,1865.92,True,2024
104,104,True,1438.0,True,2024
105,105,True,1615.04,True,2024
106,106,True,1742.0,True,2024
107,107,True,1279.04,True,2024
108,108,True,1141.0,True,2024
109,109,True,1999.2,True,2024
110,110,True,1442.48,True,2024
111,111,True,2219.84,True,2024
112,112,True,1442.0,True,2024
113,113,True,1280.88,True,2024
114,114,True,1521.0,True,2024
115,115,False,,False,2024
116,116,True,1433.55,True,2024
117,117,True,1778.0,True,2024
118,118,False,,False,2024
119,119,False,,False,2024
120,120,True,2319.2,True,2024
121,121,True,1314.36,True,2024
122,122,True,1610.56,True,2024
123,123,True,1337.44,True,2024
124,124,True,1316.52,True,2024
125,125,False,,False,2024
126,126,False,,False,2024
127,127,True,1390.0,True,2024
128,128,False,,False,2024
129,129,True,1089.92,True,2024
130,130,True,1809.92,True,2024
131,131,True,2317.28,True,2024
132,132,False,,False,2024
133,133,True,1381.32,True,2024
134,134,True,1532.16,True,2024
135,135,False,,False,2024
136,136,True,2392.2,True,2024
137,137,True,1494.72,True,2024
138,138,True,1328.1,True,2024
139,139,True,1345.12,True,2024
140,140,True,1474.2,True,2024
141,141,False,,False,2024
142,142,True,1387.95,True,2024
143,143,True,1267.92,True,2024
144,144,False,,False,2024
145,145,True,1239.84,True,2024
146,146,True,1890.0,True,2024
147,147,False,,False,2024
148,148,True,1318.0,True,2024
149,149,False,,False,2024
150,150,True,1572.48,True,2024
151,151,True,2313.92,True,2024
152,152,False,,False,2024
153,153,True,1356.32,True,2024
154,154,True,1663.45,True,2024
155,155,True,1492.96,True,2024
156,156,True,1312.9,True,2024
157,157,True,1595.0,True,2024
158,158,True,2217.6,True,2024
159,159,False,,False,2024
160,160,True,1484.08,True,2024
161,161,False,,False,2024
162,162,True,1934.24,True,2024
163,163,True,1070.28,True,2024
164,164,True,2315.52,True,2024
165,165,True,1319.55,True,2024
166,166,False,,False,2024
167,167,True,1443.68,True,2024
168,168,True,1673.9,True,2024
169,169,False,,False,2024
170,170,True,1532.52,True,2024
171,171,True,1862.56,True,2024
172,172,True,1434.16,True,2024
173,173,True,1050.84,True,2024
174,174,True,2463.48,True,2024
175,175,True,1877.12,True,2024
176,176,True,1799.84,True,2024
177,177,True,1431.36,True,2024
178,178,True,2371.68,True,2024
179,179,True,1401.84,True,2024
180,180,True,1554.2,True,2024
181,181,True,1499.04,True,2024
182,182,True,1403.15,True,2024
183,183,True,1506.0,True,2024
184,184,False,,False,2024
185,185,True,1244.32,True,2024
186,186,True,1159.2,True,2024
187,187,False,,False,2024
188,188,True,1388.88,True,2024
189,189,True,1626.24,True,2024
190,190,True,1688.96,True,2024
191,191,True,1456.0,True,2024
192,192,True,1395.52,True,2024
193,193,True,1703.52,True,2024
194,194,True,1495.8,True,2024
195,195,False,,False,2024
196,196,True,1424.8,True,2024
197,197,True,2104.96,True,2024
198,198,True,1482.88,True,2024
199,199,True,1489.6,True,2024
200,200,True,1758.45,True,2024
201,201,True,1727.04,True,2024
202,202,True,1227.96,True,2024
203,203,True,2394.56,True,2024
204,204,True,1256.64,True,2024
205,205,False,,False,2024
206,206,False,,False,2024
207,207,True,1223.0,True,2024
208,208,True,1783.6,True,2024
209,209,True,1848.96,True,2024
210,210,True,1576.05,True,2024
211,211,False,,False,2024
212,212,True,1722.0,True,2024
213,213,True,1803.2,True,2024
214,214,True,1344.6,True,2024
